Poem,Poemstyle
"""శ్రీ కైవల్య పదంబుఁ జేరుటకునై చింతించెదన్ లోక ర
క్షైకారంభకు, భక్త పాలన కళా సంరంభకున్, దానవో
ద్రేకస్తంభకుఁ, గేళి లోల విలసద్దృగ్జాల సంభూత నా
నా కంజాత భవాండ కుంభకు, మహానందాంగనాడింభకున్""",శార్ధూలము
"""వాలిన భక్తి మ్రొక్కెద నవారిత తాండవ కేళికిన్, దయా
శాలికి, శూలికిన్, శిఖరిజా ముఖ పద్మ మయూఖ మాలికిన్,
బాల శశాంక మౌళికిఁ, గపాలికి, మన్మథ గర్వ పర్వతో
న్మూలికి, నారదాది మునిముఖ్య మనస్సరసీరుహాలికిన్""",ఉత్పలమాల
"""ఆతత సేవఁ జేసెద సమస్త చరాచర భూత సృష్టి వి
జ్ఞాతకు, భారతీ హృదయ సౌఖ్య విధాతకు, వేదరాశి ని
ర్ణేతకు, దేవతా నికర నేతకుఁ, గల్మష ఛేత్తకున్, నత
త్రాతకు, ధాతకున్, నిఖిల తాపస లోక శుభప్రదాతకున్""",ఉత్పలమాల
"""ఆదర మొప్ప మ్రొక్కిడుదు నద్రి సుతా హృదయానురాగ సం
పాదికి, దోషభేదికిఁ, బ్రపన్నవినోదికి, విఘ్నవల్లికా
చ్ఛేదికి, మంజువాదికి, నశేష జగజ్జన నంద వేదికిన్,
మోదకఖాదికిన్, సమద మూషక సాదికి, సుప్రసాదికిన్""",ఉత్పలమాల
"""క్షోణితలంబునన్ నుదురు సోఁకఁగ మ్రొక్కి నుతింతు సైకత
శ్రోణికిఁ, జంచరీక చయ సుందరవేణికి, రక్షితామర
శ్రేణికిఁ, దోయజాతభవ చిత్త వశీకరణైక వాణికిన్,
వాణికి. నక్షదామ శుక వారిజ పుస్తక రమ్య పాణికిన్""",ఉత్పలమాల
"""పుట్టం బుట్ట, శరంబునన్ మొలవ, నంభోయానపాత్రంబునన్
నెట్టం గల్గను, గాళిఁ గొల్వను, బురాణింపన్ దొరంకొంటి, మీఁ
దెట్టే వెంటఁ జరింతుఁ దత్సరణి నా కీవమ్మ యో! యమ్మ! మేల్
పట్టున్ నా కగుమమ్మ, నమ్మితిఁ జుమీ బ్రాహ్మీ! దయాంభోనిధీ!""",శార్ధూలము
"""శారదనీరదేందు, ఘనసార, పటీర, మరాళ, మల్లికా
హార, తుషార, ఫేన, రజతాచల, కాశ, ఫణీశ, కుంద, మం
దార, సుధాపయోధి, సితతామర, సామరవాహినీ శుభా
కారత నొప్పు నిన్ను మదిఁ గానఁగ నెన్నఁడు గల్గు, భారతీ!""",ఉత్పలమాల
"""అంబ, నవాంబుజోజ్జ్వలకరాంబుజ, శారదచంద్రచంద్రికా
డంబర చారుమూర్తి, ప్రకటస్ఫుట భూషణ రత్నదీపికా
చుంబిత దిగ్విభాగ, శ్రుతిసూక్తి వివిక్త నిజప్రభావ, భా
వాంబరవీధి విశ్రుతవిహారిణి, నన్ గృపఁ జూడు భారతీ!""",ఉత్పలమాల
"""అమ్మలఁ గన్నయమ్మ, ముగురమ్మలమూలపుటమ్మ, చాలఁ బె
ద్దమ్మ, సురారులమ్మ కడు పాఱడి పుచ్చిన యమ్మ, తన్ను లో
నమ్మిన వేల్పుటమ్మల మనమ్ముల నుండెడి యమ్మ, దుర్గ, మా
యమ్మ, కృపాబ్ధి యిచ్చుత మహత్త్వకవిత్వ పటుత్వ సంపదల్""",ఉత్పలమాల
"""హరికిం బట్టపుదేవి, పున్నెముల ప్రో వర్థంపుఁ బెన్నిక్క, చం
దురు తోఁబుట్టువు, భారతీ గిరిసుతల్ తో నాడు పూఁబోఁడి, తా
మరలం దుండెడి ముద్దరాలు, జగముల్ మన్నించు నిల్లాలు, భా
సురతన్ లేములు వాపు తల్లి, సిరి యిచ్చున్ నిత్యకల్యాణముల్""",మత్తేభము
"""ఇమ్మనుజేశ్వరాధముల కిచ్చి, పురంబులు వాహనంబులున్
సొమ్ములుఁ గొన్ని పుచ్చుకొని, చొక్కి, శరీరము వాసి కాలుచే
సమ్మెట వ్రేటులం బడక సమ్మతితో హరి కిచ్చి చెప్పె నీ
బమ్మెర పోతరాజొకఁడు భాగవతంబు జగద్ధితంబుగన్""",ఉత్పలమాల
"""ఒనరన్ నన్నయ తిక్కనాది కవు లీ యుర్విం బురాణావళుల్
తెనుఁగుం జేయుచు, మత్పురాకృత శుభాధిక్యంబు దా నెట్టిదో,
తెనుఁగుం జేయరు మున్ను భాగవతమున్, దీనిం దెనింగించి, నా
జననంబున్ సఫలంబుఁ జేసెదఁ బునర్జన్మంబు లేకుండఁగన్""",మత్తేభము
"""లలితస్కంధము, కృష్ణమూలము, శుకాలాపాభిరామంబు, మం
జులతాశోభితమున్, సువర్ణసుమనస్సుజ్ఞేయమున్, సుందరో
జ్జ్వలవృత్తంబు, మహాఫలంబు, విమలవ్యాసాలవాలంబునై
వెలయున్ భాగవతాఖ్యకల్పతరు వుర్విన్ సద్ద్విజశ్రేయమై""",మత్తేభము
"""ధరణీవల్లభుఁ డా ప్రియవ్రతుఁడు మోదం బందుచున్ లీల నీ
శ్వరవాక్యంబునఁ గర్మతంత్ర పరుఁడై సంగంబులం బాపు శ్రీ
హరిపాదాంబుజ చింతనం దగిలి నిత్యానందముం బొంది దు
ర్భర రాగాదులఁ బాఱఁదోలి ప్రజలం బాలించె నత్యున్నతిన్""",మత్తేభము
